zcta,label,state,pop_2011,pop_2024,pop_change,pop_pct,housing_units_2011,housing_units_2024,hu_change,hu_pct,density_2024,comparable,comparable_hu,boundary_changed,same_area_share
15301,"Washington, PA",PA,48980,50348,1368,2.8,22049,24339,2290,10.4,412.8,True,True,False,0.976
15658,"Ligonier, PA",PA,8564,8115,-449,-5.2,4627,4679,52,1.1,88.1,True,True,False,0.972
15601,"Greensburg, PA",PA,60278,56425,-3853,-6.4,27132,26232,-900,-3.3,699.7,True,True,False,0.976
18843,"Susquehanna County, PA",PA,190,345,155,81.6,105,150,45,42.9,246.8,False,False,True,0.476
30114,"Canton, GA",GA,47934,62391,14457,30.2,18960,23065,4105,21.7,655.4,True,True,False,0.975
30281,"Stockbridge, GA",GA,62338,71603,9265,14.9,26118,29423,3305,12.7,1033.7,True,True,False,0.989
31044,"Jeffersonville, GA",GA,2773,3082,309,11.1,1426,1590,164,11.5,20.4,True,True,False,0.913
31419,"Savannah, GA",GA,52173,57077,4904,9.4,22588,25098,2510,11.1,782.9,True,True,False,0.829
30137,"Emerson, GA",GA,1603,1709,106,6.6,700,616,-84,-12.0,535.5,True,True,False,0.828
30184,"Cartersville, GA",GA,6847,7093,246,3.6,2618,2483,-135,-5.2,93.1,True,True,False,0.807
31519,"Broxton, GA",GA,3350,3126,-224,-6.7,1597,1668,71,4.4,25.2,True,True,False,0.958
30427,"Glennville, GA",GA,11183,12531,1348,12.1,4478,4896,418,9.3,54.3,True,True,False,0.97
30824,"Thomson, GA",GA,16516,17327,811,4.9,6981,7652,671,9.6,90.4,True,True,False,0.997
89421,"Fort McDermitt, OR",OR,612,330,-282,-46.1,296,209,-87,-29.4,0.4,False,False,False,0.817
48225,"Harper Woods, MI",MI,14680,16098,1418,9.7,6810,6294,-516,-7.6,6021.2,True,True,False,0.986
08072,"Quinton, NJ",NJ,212,164,-48,-22.6,80,79,-1,-1.2,462.1,False,False,True,0.475
07821,"Hopatcong, NJ",NJ,9632,9662,30,0.3,3809,3850,41,1.1,225.8,True,True,False,0.965
08820,"South Plainfield, NJ",NJ,38447,39978,1531,4.0,12755,13458,703,5.5,3832.6,True,True,False,0.994
63556,"Milan, MO",MO,3530,3196,-334,-9.5,1631,1592,-39,-2.4,13.2,True,True,False,0.941
63456,"Monroe City, MO",MO,3742,4749,1007,26.9,2108,2451,343,16.3,26.1,True,True,False,0.972
98563,"Montesano, WA",WA,8152,7604,-548,-6.7,3496,3599,103,2.9,18.3,True,True,False,0.871
64083,"Raymore, MO",MO,20064,26201,6137,30.6,7720,10553,2833,36.7,1020.3,True,True,False,0.995
65667,"Hartville, MO",MO,3364,3250,-114,-3.4,1458,1313,-145,-9.9,17.7,True,True,False,0.958
65041,"Hermann, MO",MO,5530,5626,96,1.7,3374,2999,-375,-11.1,23.5,True,True,False,0.96
59010,"Treasure County, MT",MT,58,220,162,279.3,68,93,25,36.8,0.6,False,False,False,0.856
59432,"Dupuyer, MT",MT,169,170,1,0.6,83,96,13,15.7,0.9,False,False,True,0.23
37705,"Norris, TN",TN,4521,5239,718,15.9,2230,2430,200,9.0,117.5,True,True,False,0.956
38464,"Lawrenceburg, TN",TN,22839,23504,665,2.9,9948,10317,369,3.7,87.1,True,True,False,0.975
37327,"Dunlap, TN",TN,10910,13480,2570,23.6,4844,5526,682,14.1,70.4,True,True,False,0.956
37064,"Franklin, TN",TN,48318,67513,19195,39.7,18850,25718,6868,36.4,366.9,True,True,False,0.93
38501,"Cookeville, TN",TN,36571,42471,5900,16.1,17098,19357,2259,13.2,487.7,True,True,False,0.994
37385,"Tellico Plains, TN",TN,8447,9015,568,6.7,4276,4391,115,2.7,33.7,True,True,False,0.909
37185,"Waverly, TN",TN,8858,9072,214,2.4,4609,4903,294,6.4,40.4,True,True,False,0.989
37847,"Jellico, TN",TN,2820,2513,-307,-10.9,1218,1128,-90,-7.4,17.2,True,True,False,0.841
37032,"Cedar Hill, TN",TN,4306,5453,1147,26.6,1726,2359,633,36.7,69.0,True,True,False,0.968
28560,"New Bern, NC",NC,28526,28661,135,0.5,13454,14321,867,6.4,233.8,True,True,False,0.884
62663,"Manchester, IL",IL,452,197,-255,-56.4,196,106,-90,-45.9,286.0,False,False,False,1.0
60091,"Wilmette, IL",IL,27008,27333,325,1.2,10041,10630,589,5.9,5116.6,True,True,False,0.995
40014,"Crestwood, KY",KY,20149,23101,2952,14.7,7334,8302,968,13.2,443.6,True,True,False,0.966
41701,"Hazard, KY",KY,16488,17453,965,5.9,7549,8093,544,7.2,124.3,True,True,False,0.91
40828,"Ages, KY",KY,3360,4280,920,27.4,1508,1925,417,27.7,84.5,True,True,False,0.916
40330,"Harrodsburg, KY",KY,19601,21250,1649,8.4,9189,9674,485,5.3,96.3,True,True,False,0.984
41041,"Flemingsburg, KY",KY,7749,7750,1,0.0,3546,3522,-24,-0.7,72.5,True,True,False,0.921
42256,"Lewisburg, KY",KY,5218,5124,-94,-1.8,2505,2984,479,19.1,26.0,True,True,False,0.942
41314,"Booneville, KY",KY,5248,4049,-1199,-22.8,2577,2104,-473,-18.4,22.7,True,True,False,0.997
42160,"Park City, KY",KY,2189,2822,633,28.9,911,927,16,1.8,43.7,True,True,True,0.58
42323,"Beechmont, KY",KY,909,852,-57,-6.3,407,315,-92,-22.6,578.0,False,False,False,0.978
53516,"Blanchardville, WI",WI,1885,2238,353,18.7,921,1045,124,13.5,25.8,True,True,False,0.951
54868,"Rice Lake, WI",WI,15598,16323,725,4.6,7770,7583,-187,-2.4,77.0,True,True,False,0.987
54806,"Ashland, WI",WI,11594,11704,110,0.9,5488,5510,22,0.4,40.5,True,True,False,0.9
54634,"Hillsboro, WI",WI,4447,4484,37,0.8,1924,1906,-18,-0.9,31.9,True,True,False,0.983
53934,"Dellwood, WI",WI,4421,4520,99,2.2,3964,4385,421,10.6,37.2,True,True,False,0.972
